Nama,Asal,Penempatan
Abdul Haris Nasution,Sumatera Utara,Darat
Agum Gumelar,Tasikmalaya,Darat
Agus Suhartono,Blitar,Laut
Ali Sadikin,Sumedang,Laut
Amir machmud,Cimahi,Darat
Basuki Rahmad,Tuban,Darat
Djoko Suyanto,Madiun,Udara
D.I. Pandjaitan,Balige,Darat
Endriartono Sutarto,Purworejo,Darat
Gatot Soebroto,Banyumas,Darat
Ginandjar Kartasasmita,Bandung,Udara
Hartono Rekso Dharsono,Pekalongan,Darat
Herman Prayitno,Yogyakarta,Udara
Imam Utomo,Jombang,Darat
Iswahyudi,Surabaya,Udara
Kemal Idris,Balige,Darat
Maraden Panggabean,Sumatera Utara,Darat
Mardiyanto,Surakarta,Darat
Moestopo,Kediri,Darat
Prabowo Subianto,Jakarta,Darat
Tengku Rizal Nurdin,Bukittinggi,Darat
Soebandrio,Bandung,Udara
Soedharmono,Gresik,Darat
Soedirman,Purbalingga,Darat
Soeharto,Yogyakarta,Darat
Susilo Bambang Yudhoyono,Pacitan,Darat
Try Sutrisno,Surabaya,Darat
Umar Wirahadikusumah,Sumedang,Darat
Untung Syamsuri,Kebumen,Darat
Wiranto,Yogyakarta,Darat
Harun Thohir,Gresik,Laut
R.E. Martadinata,Bandung,Laut
R. Hartono,Pamekasan,Darat
Herman Bernhard Leopold Mantiri,Bogor,Darat
Wahono,Tulungagung,Darat
Mashudi,Garut,Darat
Mohammad Ma'ruf,Banjarnegara,Darat
Sudi Silalahi,Pematangsiantar,Darat
Rudini,Malang,Darat
Safzen Noerdin,Aceh,Laut
Hasnan Habib,Maninjau,Udara
Hari Sabarno,Surakarta,Darat
Feisal Tanjung,Tapanuli Utara,Darat
Syarwan Hamid,Riau,Darat
Yogie Suardi Memet,Cirebon,Darat
Achmat Tahir,Sumatera Utara,Darat
Alamsjah Ratoe Perwiranegara,Lampung Utara,Darat
Wismoyo Arismunandar,Bondowoso,Darat
Ryamizard Ryacucu,Palembang,Darat
Achmad Sucipto,Bondowoso,Laut
Sudomo,Malang,Laut
Syaiful Rizal,Lahat,Darat
T.B. Silalahi,Pematangsiantar,Darat
T.B. Simatupang,Sidikalang,Darat
Djamin Ginting,Karo,Darat
Slamet Soebijanto,Mojokerto,Laut
Djamari Chaniago,Padang,Darat
Syamsir Siregar,Pematangsiantar,Darat
Fahrul Razi,Banda Aceh,Darat
Sofian Effendi,Bireuen,Darat
Rasyid Qurnuen Aquary,Bandung,Darat
Praptoyuwono,Purwokerto,Darat
Soerjadi Soerjadarma,Banyuwangi,Udara
Hanafie Asnan,Bangkalan,Udara
Agustadi Sasongko Purnomo,Surabaya,Darat
Makmun Murod,Baturaja,Darat
G.H. Mantik,Bandung,Darat
Subagdja Djiwapradja,Bogor,Darat
Oetomo,Malang,Udara
Syarief Thayeb,Aceh,Darat
Daryatmo,Surakarta,Darat
Sintong Panjaitan,Sumatera Utara,Darat
Hendardji Soepandji,Semarang,Darat
Ismed Yuzairi Chaniago,Sawah Lunto,Darat
Setia Purwaka,Kediri,(tidak diketahui)
Sjafrie Sjamsoeddin,Makassar,Darat
Hotmangaraja Panjaitan,Palembang,Darat
M. Djali Yusuf,Aceh,Darat
Daan Jahja,Padang Panjang,Darat
Soeparno,Surabaya,Laut
Mohammad Nazir,Maninjau,Laut
Nachrowi Ramli,Jakarta,Darat
Husein Sastranegara,Cianjur,Udara
Ahmad Husein,Padang,Darat
Nono Sampono,Bangkalan,Laut
Rais Abin,Koto Gadang,Darat
Syamsu Djalal,Padang Pariaman,Darat
Syaiful Sulun,Koto Gadang,Darat
Djasri Marin,Payakumbuh,Darat
Kivlan Zein,Aceh,Darat
Roesmin Noerjadin,Malang,Udara
L.B. Moerdani,Blora,Darat
Moch. Wijono,Jambi,Darat
Edi Sudrajat,(tidak diketahui),(tidak diketahui)
Ali Murtopo,Blora,Darat
Muchdi PR,Sleman,Darat
E.W.P. Tambunan,Sumatera Utara,Darat
Abdul Latief,Surabaya,(tidak diketahui)
Abdulrahman Saleh,Jakarta,Udara
Kahar Muzakkar,Sulawesi Selatan,(tidak diketahui)
Herman Sarens Sudiro,Jawa Barat,Darat
M.T. Haryono,Surabaya,Darat
Basofi Soedirman,Bojonegoro,Darat
RM Soesalit,Jawa Tengah,Darat
Alex Evert Kawilarang,Jakarta,Darat
Sudjono Humardani,(tidak diketahui),(tidak diketahui)
Syamaun Gaharu,Pidie,Darat
Atang Sendjaja,Bandung,Udara
Adisoemarmo Wirjoekoesoemo,(tidak diketahui),(tidak diketahui)
Iman Munandar,(tidak diketahui),(tidak diketahui)
Soeprapto Prijopranoto,(tidak diketahui),(tidak diketahui)
